init heap anchor= 0
     0  32736      0     -1  32768
 32752  32736      0      0      0

first allocs anchor= 5968
     0    320      1      0      0
   336    320      1      0      0

   352    256      1      0      0
   624    256      1      0      0

   640     80      1      0      0
   736     80      1      0      0

   752    160      1      0      0
   928    160      1      0      0

   944    432      1      0      0
  1392    432      1      0      0

  1408    272      1      0      0
  1696    272      1      0      0

  1712     48      1      0      0
  1776     48      1      0      0

  1792    384      1      0      0
  2192    384      1      0      0

  2208    432      1      0      0
  2656    432      1      0      0

  2672    224      1      0      0
  2912    224      1      0      0

  2928    448      1      0      0
  3392    448      1      0      0

  3408    176      1      0      0
  3600    176      1      0      0

  3616    496      1      0      0
  4128    496      1      0      0

  4144     48      1      0      0
  4208     48      1      0      0

  4224    496      1      0      0
  4736    496      1      0      0

  4752     16      1      0      0
  4784     16      1      0      0

  4800    336      1      0      0
  5152    336      1      0      0

  5168    240      1      0      0
  5424    240      1      0      0

  5440    352      1      0      0
  5808    352      1      0      0

  5824    112      1      0      0
  5952    112      1      0      0

  5968  26768      0     -1  32768
 32752  26768      0      0      0

coalesce with upper anchor= 2928
     0    320      1      0      0
   336    320      1      0      0

   352    256      1      0      0
   624    256      1      0      0

   640     80      1      0      0
   736     80      1      0      0

   752    160      1      0      0
   928    160      1      0      0

   944    432      1      0      0
  1392    432      1      0      0

  1408    272      1      0      0
  1696    272      1      0      0

  1712     48      1      0      0
  1776     48      1      0      0

  1792    384      1      0      0
  2192    384      1      0      0

  2208    432      1      0      0
  2656    432      1      0      0

  2672    224      1      0      0
  2912    224      1      0      0

  2928    656      0     -1   5968
  3600    656      0      0      0

  3616    496      1      0      0
  4128    496      1      0      0

  4144     48      1      0      0
  4208     48      1      0      0

  4224    496      1      0      0
  4736    496      1      0      0

  4752     16      1      0      0
  4784     16      1      0      0

  4800    336      1      0      0
  5152    336      1      0      0

  5168    240      1      0      0
  5424    240      1      0      0

  5440    352      1      0      0
  5808    352      1      0      0

  5824    112      1      0      0
  5952    112      1      0      0

  5968  26768      0   2928  32768
 32752  26768      0      0      0

coalesce with lower anchor= 4144
     0    320      1      0      0
   336    320      1      0      0

   352    256      1      0      0
   624    256      1      0      0

   640     80      1      0      0
   736     80      1      0      0

   752    160      1      0      0
   928    160      1      0      0

   944    432      1      0      0
  1392    432      1      0      0

  1408    272      1      0      0
  1696    272      1      0      0

  1712     48      1      0      0
  1776     48      1      0      0

  1792    384      1      0      0
  2192    384      1      0      0

  2208    432      1      0      0
  2656    432      1      0      0

  2672    224      1      0      0
  2912    224      1      0      0

  2928    656      0   4144   5968
  3600    656      0      0      0

  3616    496      1      0      0
  4128    496      1      0      0

  4144    576      0     -1   2928
  4736    576      0      0      0

  4752     16      1      0      0
  4784     16      1      0      0

  4800    336      1      0      0
  5152    336      1      0      0

  5168    240      1      0      0
  5424    240      1      0      0

  5440    352      1      0      0
  5808    352      1      0      0

  5824    112      1      0      0
  5952    112      1      0      0

  5968  26768      0   2928  32768
 32752  26768      0      0      0

coalesce with both anchor= 1408
     0    320      1      0      0
   336    320      1      0      0

   352    256      1      0      0
   624    256      1      0      0

   640     80      1      0      0
   736     80      1      0      0

   752    160      1      0      0
   928    160      1      0      0

   944    432      1      0      0
  1392    432      1      0      0

  1408    768      0     -1   4144
  2192    768      0      0      0

  2208    432      1      0      0
  2656    432      1      0      0

  2672    224      1      0      0
  2912    224      1      0      0

  2928    656      0   4144   5968
  3600    656      0      0      0

  3616    496      1      0      0
  4128    496      1      0      0

  4144    576      0   1408   2928
  4736    576      0      0      0

  4752     16      1      0      0
  4784     16      1      0      0

  4800    336      1      0      0
  5152    336      1      0      0

  5168    240      1      0      0
  5424    240      1      0      0

  5440    352      1      0      0
  5808    352      1      0      0

  5824    112      1      0      0
  5952    112      1      0      0

  5968  26768      0   2928  32768
 32752  26768      0      0      0

blew the top off anchor= 86000
     0    320      1      0      0
   336    320      1      0      0

   352    256      1      0      0
   624    256      1      0      0

   640     80      1      0      0
   736     80      1      0      0

   752    160      1      0      0
   928    160      1      0      0

   944    432      1      0      0
  1392    432      1      0      0

  1408    768      0  86000   4144
  2192    768      0      0      0

  2208    432      1      0      0
  2656    432      1      0      0

  2672    224      1      0      0
  2912    224      1      0      0

  2928    656      0   4144  98304
  3600    656      0      0      0

  3616    496      1      0      0
  4128    496      1      0      0

  4144    576      0   1408   2928
  4736    576      0      0      0

  4752     16      1      0      0
  4784     16      1      0      0

  4800    336      1      0      0
  5152    336      1      0      0

  5168    240      1      0      0
  5424    240      1      0      0

  5440    352      1      0      0
  5808    352      1      0      0

  5824    112      1      0      0
  5952    112      1      0      0

  5968  80000      1      0      0
 85984  80000      1      0      0

 86000  12272      0     -1   1408
 98288  12272      0      0      0

free everything  anchor= 0
     0  98272      0     -1  98304
 98288  98272      0      0      0

Program ended with exit code: 0
